ON;BTT;2;877;20;18;3
NB;PZF;4;391;20;11;3
NB;EJO;5;713;34;11;3
YO;CRR;2;481;35;13;3
CL;YFR;3;765;27;13;2
YO;ZHE;5;804;33;16;3
GR;KGH;3;480;22;10;2
CL;YFR;5;280;23;16;2
NB;EJO;2;391;32;13;1
ON;QBZ;4;172;35;11;2
TM;ZAS;1;232;35;12;1
CL;YFR;5;280;34;20;1
XC;LJJ;3;508;27;14;2
NB;EJO;1;790;27;13;0
CL;ROH;5;280;24;14;3
TM;VGJ;1;410;24;15;3
CL;HUM;2;741;32;18;1
NB;PZF;4;794;35;17;0
CL;XMI;5;741;31;18;0
CL;SGS;2;845;27;19;3
YO;INE;3;810;21;18;1
YO;JZZ;2;810;34;16;3
TM;QOZ;1;232;26;15;0
TM;DQU;2;410;31;12;2
CL;ROH;1;845;32;14;3
CL;HUM;2;280;27;20;0
GR;BGG;1;480;28;18;2
TM;DQU;3;232;24;16;3
CL;YFR;1;280;30;18;0
XC;TPK;2;885;30;19;1
GR;IAO;4;480;27;11;1
XC;LJJ;2;508;28;17;1
NB;PZF;3;391;20;10;1
NB;PZF;3;794;33;13;0
XC;TPK;2;885;25;16;2
TM;QOZ;5;206;23;14;1
YO;INE;5;535;25;15;1
YO;INE;5;658;28;12;0
TM;ZAS;2;410;24;14;3
TM;VGJ;4;410;25;19;0
YO;ZHE;2;535;26;13;1
NB;EQP;4;790;29;17;2
ON;YKM;5;441;28;17;3
XC;RVS;3;885;28;13;1
YO;ZHE;2;535;25;20;2
ON;VGF;1;441;23;19;2
YO;ZHE;1;810;27;13;1
GR;KGH;5;480;22;17;2
XC;LJJ;1;347;25;18;2
TM;VGJ;5;410;20;13;2
CL;SGS;3;845;22;11;0
YO;CRR;4;415;32;18;3
CL;YFR;5;741;33;19;2
TM;QOZ;2;410;30;18;2
CL;YFR;3;280;28;19;0
YO;ZHE;5;481;21;10;1
NB;EQP;4;713;25;10;0
XC;TPK;1;508;25;16;2
CL;SGS;3;845;33;12;1
NB;EJO;5;794;33;20;3
GR;SZN;4;480;30;17;1
CL;SGS;2;845;23;20;0
XC;TPK;3;508;20;13;1
ON;VGF;1;172;27;19;3
TM;QOZ;3;410;21;17;1
ON;QBZ;3;824;35;17;2
YO;MUM;4;415;34;16;0
ON;YKM;5;172;32;13;0
ON;YKM;3;877;31;14;1
